id	feedType	jobTitle	referenceId	referenceName	referenceURL	interest	location	description
1351758	Full Time	Administrative Assistant	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-859695dc1f7c91b0258ed72e44e1a79ae5fbb17a/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-3/hits-51		New York	"* Job Number: 28315044 * Address: New York-Fifth Avenue, New York, United States * Posted: Aug. 27, 2013 * Category: Corporate * Job Summary: As a member of the Retail Human Resources team, the HR Administrator will assist with the coordination of the HR functions for the Apple offices in New York City. The HR Administrator will have the responsibilities of employee on-boarding as well as office management. This position requires a highly motivated individual with strong communication and interpersonal skills. This person will be able to handle the administrative tasking in the busy office environment. * Qualifications:  * Knowledge * You have a minimum of one (1) year of administrative experience * You have 1-2 years of HR experience * You are multi-talented innovative, organized, professional, timely, and smart as they come. * You take personal initiative and are a positive example for others. * Adaptable to changing needs of the organization. Motivated and driven. * Ability to professionally represent company - capable of learning and understanding Apples culture and bringing the brand to life. * You have a Concierge mentality at all times * Be the first point of contact in the resolution, escalation or routing of employee inquiries * Skills * Strong problem-solving skills * Ability to priortize workload and manage multiple projects * Attention to detail is a must * Willingness to be flexible * Exceptional written and verbal communication skills * Actively learns, demonstrates and fosters Apples culture in all actions and words  * Description: Provides strategic administrative support for the human resources function of a high volume, retail stores. Prioritizes multiple projects, think outside the box and support a HR or Business administrative functions. Builds successful working relationships with a variety of positions inside and outside the Apple Category: Retail Store. Manages the upkeep of confidential documents: employee files, management files related to HR matters, and requisition files. Assists in the on-boarding process. Works with the in-store HR Manager to provide general information on HR policies and processes. Handles basic office administration tasks. Educates employees about companys benefits (Health, medical, perks, etc.) * Education: A Bachelors Degree in this field is preferred but not required * Detail page URL: https://jobs.apple.com...>"
1351759	Full Time	Technical Customer Service Support Rep.	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-8ceae671dbc7a7bee3b0658bd8a669f5f0b9464d/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-4/hits-51		"Santa Clara, CA"	"* Job Number: 29559536 * Address: Austin, Texas, United States * Posted: Sep. 11, 2013 * Category: Corporate * Job Summary: At Apple, we believe in hard work, a fun environment, and the kind of creativity and innovation that only comes about when talented people from diverse backgrounds approach problems from varying perspectives. We believe each customer interaction is an opportunity to delight, impress, engage and inspire. We focus on all the small details to have the biggest impact! Technical Consultants that support our Apple customers are the best of the best of the best. Are you one of them? * Qualifications:  * A driving passion for new and innovative technology. * Owns a computer and peripheral devices like iPods, cell phones, PDAs, etc., and has personal experience with troubleshooting them. * Familiarity with the Mac platform, Apple software, and Mac OS X. * Comfortable navigating through unfamiliar software applications. * Broad understanding of computing technology including: hardware components, data storage, operating systems, software applications, common peripheral devices, and external connectivity. * Knowledge of Internet services and network configurations including broadband, dial-up, and wired or wireless home networks. * Approaches unknowns with a systematic and analytical process. * Seeks technical challenges and enjoys finding answers unassisted. * Sales experience in a technical field, discussing the specifications and benefits of various products with potential customers. * Relevant experience in Retail, Technical Support, Help Desk Support, or Customer Service.  * Description: The responsibilities of the Technical Customer Service Support Representative includes: Provide unparalleled customer service and enrichment to the digital lifestyles of Apple customers. Provide complete and appropriate technical solutions for Mac users. Delight our customers by listening attentively to their needs, reaching agreement about their issue and driving it to a resolution. Troubleshoot simple to complex issues, adapting to a variety of skill levels through a positive, analytical, and informative approach. Educate customers about Apples support options, online tools, and self-help or tutorial training resources. Communicate positively with team members, customers, and other partners always remembering, that you represent the Apple brand. Oh yeah - and have fun! After all, this is Apple. * Education: Possesses an aptitude for delighting customers through: o Adaptive interaction with people of diverse technical proficiency. o An active listener and excellent verbal communicator. o An excitement and passion for the company and product you are representing and the ability to share this passion with your customer. *>"
1351760	Full Time	Intern/Co-op - System Test	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-812d12e5acd257895731eee3183f58f1945f9624/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-5/hits-51		"Santa Clara, CA"	"* Job Number: 27493986 * Address: Santa Clara Valley, California, United States * Posted: Jul. 19, 2013 * Category: Corporate * Job Summary: System Test Engineering is looking for an intern with excellent problem solving and communications skills. This is your chance to join a key team driving the quality of future Apple products. In this role, you will be developing new tools, creating automation systems, and working closely with the cross-functional team to ensure product quality. * Qualifications:  * Experience in developing using scripting or coding languages (PERL, Python, Ruby, JavaScript, ObjectiveC, C++, etc.) * Strong written and verbal communications skillsincluding solid writing, presentation skills & experience. * In-depth knowledge of MacOS, iOS, and/or UNIX * Technical knowledge of professional apps, game development, web applications, and/or media-related software. * Ability to work cross-functionally with other teams and groups * Ability to design, think creatively, problem solve, and innovate  * Description: The successful candidate has a strong aptitude for learning new technologies, and excellent communication skills. The candidate is expected have the ability to design, create, and run manual and automated tests. Cross-functional collaboration with development, marketing and tech support teams and an ability to thrive under pressure are key skills required to succeed in this role. Innovation, design experience, creativity, and problem solving skills are key. Develop, design and execute automated tests/test systems for compatibility of Apple hardware and software projects. Test lead a core automation area or project Work closely and clearly communicate with all cross-functional teams * Education: Enrolled as a BSEE/CS student *>"
1351761	Full Time	Legal Administrative Assistant	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-ceba1486b12453bef1288dbbda3339b2c1b93d1/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-6/hits-51		"Santa Clara, CA"	"* Job Number: 27467724 * Address: Santa Clara Valley, California, United States * Posted: Aug. 1, 2013 * Category: Corporate * Job Summary: Apple's litigation team is looking for a highly energetic Legal Administrative Assistant * Qualifications:  * A minimum of 5 years experience * Must possess strong time management and effective communication skills * Must be very detail oriented and able to work independently as well as collaboratively within a team * Familiarity with Apple hardware and software is preferred * Successful candidate should be a high energy, assertive, and flexible self-starter who will thrive in a fast-paced and very team-oriented environment * Prior legal experience a plus  * Description: You must be an organized self starter able to work in a face paced environment while performing administrative and clerical duties in support of multiple levels of individuals within the legal dept. Must be resourceful and take the initiative to prioritize and problem solve with limited guidance and supervision. Also, must be able to effectively deal with ambiguity and the constantly changing needs of the department. Additional responsibilities include: - Coordinate meetings with both internal and external entities - Manage travel arrangements and expense reporting - Prepare letters, reports and other materials - Maintain and update various department database systems - Files documents with appropriate entities in accordance with legal requirements - Assist in establishing office policies and procedures in order to eliminate redundancy and inefficiencies - Coordinate special projects and department activities * Education: Bachelor's or AA degree from accredited institution *>"
1351762	Full Time	Enterprise Sales Representative	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-32afed8431987b54bd1b248c4fd9f1ce5112a088/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-7/hits-51		"Santa Clara, CA"	"* Job Number: 27473946 * Address: Los Angeles, California, United States * Posted: Jul. 9, 2013 * Category: Corporate * Job Summary: Thirty years ago, Apple announced the Mac with the greatest Super Bowl advertisement of all times. Today the Mac is the creative tool of choice on Madison Avenue. Are you the right person to take this great relationship forward into the Post PC era? * Qualifications:  * Do people ask if you work at Apple because of your detailed knowledge of our products, your enthusiasm to help others, and your determination to change the world for the better? Does it frustrate you that people have to go back in time--technologically speaking--when they go to work? Have you chosen a sales career because you consider it to be a noble profession? Part teacher, part student, part listener, part orator, part accountant, part entrepreneur, part servant, part leader. Its challenging work; perhaps thats why it is worth doing. * Are you ready to bring Apple innovation to the enterprise? We are actively searching for an Enterprise Account Executive for a set of Fortune 1000 accounts in the greater Southern California area. The ideal candidate will have 5+ years of customer-facing sales experience with knowledge of enterprise solution selling. The Account Executive will work with customers, business partners, and internal sales resources to drive growth of the full line of Apple products.  * Description: Responsibilities include: Execution of sales strategies within assigned accounts. Top to bottom (executive suite to end user) customer relationship management for large enterprise accounts. Territory planning and management, opportunity forecasting, demand generation, and fulfillment logistics. Leadership of the extended sales team (telesales, reseller partners, and ISV coordination) to deliver significant market-share growth in this territory. * Education: A BS/BA Degree is required. *>"
1351763	Full Time	Equipment Lab Assistant	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-b17494afd3d13c04449d38bbe9d981718b9731c/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-8/hits-51		"Santa Clara, CA"	"* Job Number: 27144255 * Address: Santa Clara Valley, California, United States * Posted: Jul. 24, 2013 * Category: Corporate * Job Summary: Job Description: Support the Hardware test engineering labs  Assist one or more lab spaces, including: equipment preparation, shipment and maintenance, management of lab supplies and tools Update equipment inventory after dry-run activities Support prototype requests at mini-lines, inventory and audits * Qualifications:  * Required Experience and Skills: * ASEE in Electronic Technology or solid industry experience in field. * Hands-on experience with electronic product assembly * Hands-on experience in prototype work and functional verification specifically with electronics * Hands-on and fluent with lab equipment: RF communication testers, digital multimeter, spectrum analyzer, signal generator, oscilloscope, camera display equipment, power supply, etc. * Excellent communication in English (written and verbal) * Great computer skills: Mac, proficient in MS Excel * Ability to work in a fast paced environment * Proficient computer and internet skills * Able to work odd hours and weekends * Must be able to lift 50 lbs  * Description: see summary * Education: ASEE in Electronic Technology or solid industry experience in field *>"
1351764	Full Time	Bilingual Customer Support Account Rep	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-7c6f46a5c08eec9c38c836b224898491ddb96a3/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-9/hits-51		"Santa Clara, CA"	"* Job Number: 29044605 * Address: Austin, Texas, United States * Posted: Aug. 12, 2013 * Category: Corporate * Job Summary: The Customer Support Account Representative position has a wide range of responsibilities focused on delivering excellent account management support for all areas of Operations. * Qualifications:  * Able to Speak, Write, Read fluently in Spanish. * Build and maintain effective working relationships with both Channel reseller Partners and internal departments. * Hold regular Business Operations calls and Account Reviews with Reseller Partners * Ensure that all customer requests are dealt with appropriately and in a timely manner. * Fully understanding the Resellers demand and optimal inventory targets (TWOS), and using this to work with the Channel Reseller Partners to derive a clear demand statement/forecast. * Manage execution of the Order Flow Process with Resellers partners, from Order Booking through to Delivery, to ensure optimal customer service levels are attained. * Understands and is competent in the use of available operational tools * Identify potential process improvement opportunities and present them to management with recommendations * Advanced Excel * Knowledge of ERP systems / SAP  * Description: The position entails Collaboration, Planning and Replenishment, in a weekly process with key Channel Partners. On a day-to-day basis the role requires collaboration with internal groups, Supply planning, Logistics & Sales in the analysis, commitment and delivery of product and communication of same to accounts. This role is the single point of contact for all monitoring, reporting and communications of operations issues and resolutions. This role will suit a candidate with strong planning and inventory background, who can demonstrate an excellent understanding of the Order Cycle & Execution Process, within a dynamic and fast moving environment. This role is the single point of contact for the account, regarding all Operations issues, from pre-Purchase Order activities, supply commitment, Target WOS attainment, to Proof of delivery (POD) ~ Act as first point of escalation for both internal groups and partners/customers ~ Answering customer enquiries via both phone and email ~ Managing the end-to-end order fulfillment process ~ Undertaking proactive communication to partners/customers on Apple order status and products ~ Remain knowledgable of partner/customer performance requirements, product line and service offerings ~ Act as the single point of contact for communicating operational issues and solutions ~ Achieve specific performance goals, both team & individual. ~ May represent Apple externally at customer forums such as, APR forums, may drive process improvement and fulfillment strategy improvements as needed * Education: Bachelor degree in Business, Mathmatics or Engineering or equivalent experience in Operations/Supply Chain. *>"
1351765	Full Time	EMC Design Engineer	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-b51f151b322a8f0a4b7b533c7261d77cbc9565c/rid-txmazuurbutuyflesouuxncyjyttzagr/cjp-0/hits-2		California	"* Job Number: 20670190 * Address: Santa Clara Valley, California, United States * Posted: Dec. 3, 2012 * Category: Corporate * Job Summary: Imagine what you could do here. At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. * Qualifications:  * See below  * Description: This is an entry-level EMC engineering position for a recent college graduate looking to begin or continue a career in EMC engineering. This position will support the EMC design and test of Apple hardware products. Requirements: -BS/MSEE or BS/MSME -Knowledge in RF design, microwave, and signal integrity is beneficial -Excellent problem solving skills -Strong written and oral communication skills -Excellent organizational skills -Highly motivated * Education: * Detail page URL: https://jobs.apple.com...>"
1351766	Intern	Fall Intern - Sustainable Materials	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-9d8bfe86a69a76142c228d90fcb2905bc47019/rid-jgdalisnochwloxbudgdtqqkorvgvdrz/cjp-1/hits-10		"Santa Clara, CA"	"* Job Number: 27494334 * Address: Santa Clara Valley, California, United States * Posted: Aug. 28, 2013 * Category: Corporate * Job Summary: The Environmental Technologies group is seeking an intern to assist with investigations into environmentally sensitive materials, such as materials containing recycled content, renewable bio-based content, higher recyclability, and other attributes that reduce environmental impact. The intern will support research into new materials with Apples materials teams, drive material trials with suppliers and qualification testing with cross-functional teams., The intern will also support work on material guidelines for these new categories of materials. * Qualifications:  * Materials or polymer engineering background; final year of undergraduate studies or masters student * Effective program management abilities, particularly across cross-functional teams, is desired * Strong interest in bio-based polymers and sustainable materials is desired * Specialization in polymers is a plus * Familiarity with Life Cycle Assessment and toxicological assessments are a plus  * Description: This position is offered in Apple's Environmental Technologies group within Apple's Hardware Engineering division. Our mission is to deliver the world's leading programs on the elimination of hazardous substances, improved material and energy efficiency as well as design for recycling. Apple believes that major improvements in environmental performance will be delivered through product design and innovation which start at the material level. * Education: Currently Enrolled in a BS/MS or PhD engineering degree *>"
1351767	Intern	"Wellness Internship - Austin, TX"	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-9188823d01521a984489856fdba97c22587ce4d/rid-jgdalisnochwloxbudgdtqqkorvgvdrz/cjp-2/hits-10		"Santa Clara, CA"	"* Job Number: 29277544 * Address: Austin, Texas, United States * Posted: Aug. 21, 2013 * Category: Corporate * Job Summary: Apple Wellness offers a hands-on internship for undergraduate and graduate students in the field of exercise physiology, health and wellness and kinesiology.  The internship offers experience in both the Fitness Center and in the Preventive Care settings. Students gain practical experience in lifestyle counseling, exercise prescription, and exercise leadership for a large and diverse population. * Qualifications:  * Students must be enrolled in school for the duration of the internship and receiving school credit for the internship. * An internship must be required in order to graduate.  * Description: Students must have experience in or knowledge of: - Weight training and the design of personal exercise programs - Prepping and assisting with maximal graded exercise tests - Performing a variety of fitness tests such as body composition - General nutrition and dietary analysis - Must have completed coursework in exercise physiology, health promotion, Kinesiology or a similar curriculum, and be knowledgeable of ACSM guidelines. - Good communication skills and high level of professionalism are essential; patient/client interaction is a vital aspect of our program. - Interns are expected to be highly motivated, organized, self-directed and open to feedback to insure a beneficial internship experience. * Education: Currently pursuing a bachelors or masters degree in Kinesiology, Health and Exercise Science, Public Health, or related major. *>"
1351768	Intern	Wellness Internship	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-a96046fbb9ea7b9beaa4456bddd3ecfcb51978d/rid-jgdalisnochwloxbudgdtqqkorvgvdrz/cjp-3/hits-10		"Austin, TX"	"* Job Number: 29277544 * Address: Austin, Texas, United States * Posted: Aug. 21, 2013 * Category: Corporate * Job Summary: Apple Wellness offers a hands-on internship for undergraduate and graduate students in the field of exercise physiology, health and wellness and kinesiology.  The internship offers experience in both the Fitness Center and in the Preventive Care settings. Students gain practical experience in lifestyle counseling, exercise prescription, and exercise leadership for a large and diverse population. * Qualifications:  * Students must be enrolled in school for the duration of the internship and receiving school credit for the internship. * An internship must be required in order to graduate.  * Description: Students must have experience in or knowledge of: - Weight training and the design of personal exercise programs - Prepping and assisting with maximal graded exercise tests - Performing a variety of fitness tests such as body composition - General nutrition and dietary analysis - Must have completed coursework in exercise physiology, health promotion, Kinesiology or a similar curriculum, and be knowledgeable of ACSM guidelines. - Good communication skills and high level of professionalism are essential; patient/client interaction is a vital aspect of our program. - Interns are expected to be highly motivated, organized, self-directed and open to feedback to insure a beneficial internship experience. * Education: Currently pursuing a bachelors or masters degree in Kinesiology, Health and Exercise Science, Public Health, or related major. * Detail page URL: https://jobs.apple.com...>"
1351769	Intern	Wellness Internship - Cupertino	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-4e530115ac5e435961ced31bb5d2a577352aa/rid-jgdalisnochwloxbudgdtqqkorvgvdrz/cjp-4/hits-10		"Santa Clara, CA"	"* Job Number: 29277434 * Address: Santa Clara Valley, California, United States * Posted: Aug. 21, 2013 * Category: Corporate * Job Summary: Apple Wellness offers a hands-on internship for undergraduate and graduate students in the field of exercise physiology, health and wellness and kinesiology.  The internship offers experience in both the Fitness Center and in the Preventive Care settings. Students gain practical experience in lifestyle counseling, exercise prescription, and exercise leadership for a large and diverse population. Interns will have the opportunity to assist with clinical testing including resting and exercise EKGs, maximal stress testing and VO2-max testing. * Qualifications:  * Students must be enrolled in school for the duration of the internship and receiving school credit for the internship. * An internship must be required in order to graduate.  * Description: Students must have experience in or knowledge of: - Weight training and the design of personal exercise programs - Prepping and assisting with maximal graded exercise tests - Performing a variety of fitness tests such as body composition - General nutrition and dietary analysis - Must have completed coursework in exercise physiology, health promotion, Kinesiology or a similar curriculum, and be knowledgeable of ACSM guidelines. - Good communication skills and high level of professionalism are essential; patient/client interaction is a vital aspect of our program. - Interns are expected to be highly motivated, organized, self-directed and open to feedback to insure a beneficial internship experience. The duration of the internship is 15 to 20 weeks and compensation includes hourly salary, relocation, and housing assistance. * Education: Currently pursuing a bachelors or masters degree in Kinesiology, Health and Exercise Science, Public Health, or related major. *>"
